filename,contents,Label
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_0.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footnotes.xml', 'word/endnotes.xml', 'word/footer.xml', 'word/theme/theme.xml', 'word/settings.xml', 'word/numbering.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_1.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footnotes.xml', 'word/endnotes.xml', 'word/footer.xml', 'word/theme/theme.xml', 'word/settings.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_10.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footnotes.xml', 'word/endnotes.xml', 'word/media/image.png', 'word/media/image.jpeg', 'word/theme/theme.xml', 'word/settings.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_100.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footnotes.xml', 'word/endnotes.xml', 'word/media/image.jpeg', 'word/theme/theme.xml', 'word/settings.xml', 'customxml/item.xml', 'customxml/itemprops.xml', 'word/numbering.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml', 'customxml/_rels/item.xml.rels']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_101.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footnotes.xml', 'word/endnotes.xml', 'word/media/image.wmf', 'word/media/image.png', 'word/media/image.jpeg', 'word/theme/theme.xml', 'word/settings.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_102.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footnotes.xml', 'word/endnotes.xml', 'word/theme/theme.xml', 'word/settings.xml', 'word/numbering.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_103.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footnotes.xml', 'word/endnotes.xml', 'word/theme/theme.xml', 'word/settings.xml', 'customxml/item.xml', 'customxml/itemprops.xml', 'word/numbering.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml', 'customxml/_rels/item.xml.rels']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_104.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footnotes.xml', 'word/endnotes.xml', 'word/theme/theme.xml', 'word/settings.xml', 'customxml/item.xml', 'customxml/itemprops.xml', 'word/numbering.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml', 'customxml/_rels/item.xml.rels']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_105.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footnotes.xml', 'word/endnotes.xml', 'word/theme/theme.xml', 'word/settings.xml', 'word/numbering.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_106.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footnotes.xml', 'word/endnotes.xml', 'word/theme/theme.xml', 'word/settings.xml', 'word/numbering.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_107.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footnotes.xml', 'word/endnotes.xml', 'word/footer.xml', 'word/theme/theme.xml', 'word/settings.xml', 'word/numbering.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_108.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footnotes.xml', 'word/endnotes.xml', 'word/theme/theme.xml', 'word/settings.xml', 'word/numbering.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_109.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footnotes.xml', 'word/endnotes.xml', 'word/theme/theme.xml', 'word/settings.xml', 'word/numbering.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_11.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footer.xml', 'word/endnotes.xml', 'word/header.xml', 'word/footnotes.xml', 'word/theme/theme.xml', 'word/media/image.png', 'word/settings.xml', 'customxml/itemprops.xml', 'customxml/item.xml', 'word/numbering.xml', 'word/styles.xml', 'word/websettings.xml', 'docprops/core.xml', 'docprops/app.xml', 'docprops/custom.xml', 'word/fonttable.xml', 'customxml/_rels/item.xml.rels']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_110.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footnotes.xml', 'word/endnotes.xml', 'word/theme/theme.xml', 'word/settings.xml', 'customxml/item.xml', 'customxml/itemprops.xml', 'word/numbering.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml', 'customxml/_rels/item.xml.rels']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_111.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footnotes.xml', 'word/endnotes.xml', 'word/footer.xml', 'word/media/image.png', 'word/theme/theme.xml', 'word/settings.xml', 'word/numbering.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_112.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/theme/theme.xml', 'word/settings.xml', 'word/numbering.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_113.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footnotes.xml', 'word/endnotes.xml', 'word/theme/theme.xml', 'word/settings.xml', 'word/numbering.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_114.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footnotes.xml', 'word/endnotes.xml', 'word/footer.xml', 'word/theme/theme.xml', 'word/settings.xml', 'word/numbering.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_115.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footnotes.xml', 'word/endnotes.xml', 'word/footer.xml', 'word/media/image.png', 'word/media/image.jpeg', 'word/theme/theme.xml', 'word/settings.xml', 'word/_rels/settings.xml.rels', 'customxml/item.xml', 'customxml/itemprops.xml', 'word/numbering.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml', 'customxml/_rels/item.xml.rels']",MS
D:\docx\Dataset[Learn]\Docx Dataset\Docx[MS]\[DOCX]Dataset[MS]_116.docx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'word/document.xml', 'word/_rels/document.xml.rels', 'word/footnotes.xml', 'word/endnotes.xml', 'word/header.xml', 'word/footer.xml', 'word/_rels/header.xml.rels', 'word/media/image.jpeg', 'word/theme/theme.xml', 'word/settings.xml', 'customxml/item.xml', 'customxml/itemprops.xml', 'word/numbering.xml', 'word/styles.xml', 'word/websettings.xml', 'word/fonttable.xml', 'docprops/core.xml', 'docprops/app.xml', 'customxml/_rels/item.xml.rels']",MS
