filename,contents,Label
D:\docx\Dataset[Learn]\Excel Dataset\EXCEL[MS]\[EXCEL]Dataset[MS]_0.xlsx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'xl/workbook.xml', 'xl/_rels/workbook.xml.rels', 'xl/worksheets/sheet.xml', 'xl/theme/theme.xml', 'xl/styles.xml', 'xl/sharedstrings.xml', 'xl/drawings/vmldrawing.vml', 'xl/worksheets/_rels/sheet.xml.rels', 'xl/printersettings/printersettings.bin', 'xl/comments.xml', 'xl/calcchain.xml', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Excel Dataset\EXCEL[MS]\[EXCEL]Dataset[MS]_1.xlsx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'xl/workbook.xml', 'xl/_rels/workbook.xml.rels', 'xl/worksheets/sheet.xml', 'xl/theme/theme.xml', 'xl/styles.xml', 'xl/sharedstrings.xml', 'xl/drawings/drawing.xml', 'xl/media/image.jpeg', 'xl/worksheets/_rels/sheet.xml.rels', 'xl/drawings/_rels/drawing.xml.rels', 'xl/printersettings/printersettings.bin', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Excel Dataset\EXCEL[MS]\[EXCEL]Dataset[MS]_10.xlsx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'xl/workbook.xml', 'xl/_rels/workbook.xml.rels', 'xl/worksheets/sheet.xml', 'xl/theme/theme.xml', 'xl/styles.xml', 'xl/sharedstrings.xml', 'xl/worksheets/_rels/sheet.xml.rels', 'xl/printersettings/printersettings.bin', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Excel Dataset\EXCEL[MS]\[EXCEL]Dataset[MS]_100.xlsx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'xl/workbook.xml', 'xl/_rels/workbook.xml.rels', 'xl/worksheets/sheet.xml', 'xl/theme/theme.xml', 'xl/styles.xml', 'xl/sharedstrings.xml', 'xl/drawings/drawing.xml', 'xl/media/image.jpeg', 'xl/media/image.emf', 'xl/worksheets/_rels/sheet.xml.rels', 'xl/drawings/_rels/drawing.xml.rels', 'xl/printersettings/printersettings.bin', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Excel Dataset\EXCEL[MS]\[EXCEL]Dataset[MS]_101.xlsx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'xl/workbook.xml', 'xl/_rels/workbook.xml.rels', 'xl/worksheets/sheet.xml', 'xl/theme/theme.xml', 'xl/styles.xml', 'xl/sharedstrings.xml', 'xl/worksheets/_rels/sheet.xml.rels', 'xl/printersettings/printersettings.bin', 'xl/calcchain.xml', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Excel Dataset\EXCEL[MS]\[EXCEL]Dataset[MS]_102.xlsx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'xl/workbook.xml', 'xl/_rels/workbook.xml.rels', 'xl/worksheets/sheet.xml', 'xl/theme/theme.xml', 'xl/styles.xml', 'xl/sharedstrings.xml', 'xl/worksheets/_rels/sheet.xml.rels', 'xl/printersettings/printersettings.bin', 'xl/calcchain.xml', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Excel Dataset\EXCEL[MS]\[EXCEL]Dataset[MS]_103.xlsx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'xl/workbook.xml', 'xl/_rels/workbook.xml.rels', 'xl/worksheets/sheet.xml', 'xl/theme/theme.xml', 'xl/styles.xml', 'xl/sharedstrings.xml', 'xl/drawings/vmldrawing.vml', 'xl/worksheets/_rels/sheet.xml.rels', 'xl/printersettings/printersettings.bin', 'xl/comments.xml', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Excel Dataset\EXCEL[MS]\[EXCEL]Dataset[MS]_104.xlsx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'xl/workbook.xml', 'xl/_rels/workbook.xml.rels', 'xl/worksheets/sheet.xml', 'xl/theme/theme.xml', 'xl/styles.xml', 'xl/sharedstrings.xml', 'xl/worksheets/_rels/sheet.xml.rels', 'xl/printersettings/printersettings.bin', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Excel Dataset\EXCEL[MS]\[EXCEL]Dataset[MS]_105.xlsx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'xl/workbook.xml', 'xl/_rels/workbook.xml.rels', 'xl/worksheets/sheet.xml', 'xl/theme/theme.xml', 'xl/styles.xml', 'xl/sharedstrings.xml', 'xl/worksheets/_rels/sheet.xml.rels', 'xl/printersettings/printersettings.bin', 'xl/calcchain.xml', 'docprops/core.xml', 'docprops/app.xml']",MS
D:\docx\Dataset[Learn]\Excel Dataset\EXCEL[MS]\[EXCEL]Dataset[MS]_106.xlsx,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'content_types.xml', '_rels/.rels', 'xl/workbook.xml', 'xl/_rels/workbook.xml.rels', 'xl/worksheets/sheet.xml', 'xl/theme/theme.xml', 'xl/styles.xml', 'xl/sharedstrings.xml', 'xl/drawings/vmldrawing.vml', 'xl/drawings/drawing.xml', 'xl/worksheets/_rels/sheet.xml.rels', 'xl/ctrlprops/ctrlprop.xml', 'xl/printersettings/printersettings.bin', 'docprops/core.xml', 'docprops/app.xml']",MS
